path,ext,size,terms,counts
BIOS/VGA/TEST/MTEST.ASM,.ASM,1751,read,"{""read"": 1}"
BIOS/VGA/TEST/READDAC.ASM,.ASM,447,read,"{""read"": 4}"
BIOS/VGA/TEST/READDAC.C,.C,348,read,"{""read"": 1}"
BIOS/VGA/WVGA/DISP5E.C,.C,2512,read,"{""read"": 4}"
BIOS/VGA/WVGA/DISP60.C,.C,2513,read,"{""read"": 4}"
BIOS/VGA/WVGA/DISP61.C,.C,2513,read,"{""read"": 4}"
BIOS/VGA/WVGA/DISP63.C,.C,2625,read,"{""read"": 4}"
BIOS/VGA/WVGA/DISP66.C,.C,2513,read,"{""read"": 4}"
BIOS/VGA/WVGA/DISP68.C,.C,2704,read,"{""read"": 4}"
BIOS/VGA/WVGA/DISP70.C,.C,2512,read,"{""read"": 4}"
BIOS/VGA/WVGA/DISPN.C,.C,2547,read,"{""read"": 4}"
BIOS/VGA/WVGA/DISPN40.C,.C,2560,read,"{""read"": 4}"
BIOS/VGA/WVGA/PGM_DUMP.C,.C,48881,interrupt read,"{""interrupt"": 3, ""read"": 13}"
BIOS/VGA/WVGA/VDRINCR.ASM,.ASM,21008,interrupt read,"{""interrupt"": 1, ""read"": 1}"
BIOS/AT/TEST/MOUSETST.ASM,.ASM,19199,interrupt read,"{""interrupt"": 3, ""read"": 27}"
